Date,IPO Name,"Issue Size 						  (in crores)",QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,"Listing  						  Gains(%)",CMP,"Current 						  Gains (%)"
16-04-2010,Goenka Diamond,145,0.78,2.99,0.66,1.07,135,130,12.79,-90.53,1.25,-99.07
12-04-2010,Intrasoft Tech,53.65,21.97,21.6,13.51,18.95,145,140,159.35,9.9,114.55,-21
09-04-2010,Shree Ganesh,385.29,1.38,6.13,1.39,1.96,260,258.85,163.25,-37.21,0.82,-99.68
06-04-2010,Persistent,168.01,144.43,107.73,21.69,93.6,310,400,204,-34.19,"3,131.00",910
05-04-2010,Pradip Overseas,116.6,8.57,45.35,10.53,14.08,110,120,89.29,-18.83,1.2,-98.91
30-03-2010,ILandFS Trans,700,52.61,39.39,4.56,33.42,258,287,253.68,-1.67,5.42,-97.9
29-03-2010,DQ Entertain,128.38,93.86,272.88,19.45,86.33,80,135,108.55,35.69,0.91,-98.86
18-03-2010,United Bank,330,47.08,39.15,9.8,33.38,66,77,68.8,4.24,4.48,-93.21
11-03-2010,Man Infra,142,96.06,104.57,10.26,62.53,252,335,69.65,-72.36,65.1,-74.17
10-03-2010,Texmo Pipes,45,1.02,30.5,7.26,7.48,90,92.8,137.25,52.5,54.2,-39.78
03-03-2010,ARSS Infra,103,49.34,124.53,18.55,47.62,450,640,736.3,63.62,31.5,-93
25-02-2010,Hathway Cable,735.4,1.43,4.29,0.28,1.36,240,246,41.56,-82.68,26.05,-89.15
24-02-2010,DB Realty,1500,1.35,1.21,0.01,0.85,468,452.1,455.4,-2.69,25.6,-94.53
24-02-2010,Emmbi Ind,43.08,0.43,5.55,0.46,1.2,45,46,28.65,-36.33,113.8,152.89
23-02-2010,Aqua Logistics,150,0.26,5.07,3,1.94,220,225,24.46,-88.88,1.4,-99.36
19-02-2010,Thangamayil,0,0.52,1.52,2.26,1.12,75,70,71.1,-5.2,870,1060
15-02-2010,Vascon Engineer,199.8,1.12,3.65,0.62,1.22,165,155.9,146.38,-11.28,21.7,-86.85
15-02-2010,Syncom Health,56.25,0.99,16.6,6.25,5.17,75,88,87.85,17.13,4.06,-94.59
08-02-2010,Jubilant Food,328.7,59.39,51.95,3.79,31.11,145,160,114.5,-21.03,"3,770.20",2500.14
03-02-2010,Infinite Comp,189.8,48.44,106.02,11.08,43.22,165,178.35,184.51,11.82,473.75,187.12
